Tombo;local_num;Localidade;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
411;;AltoParaiso;10;18;12;12;11;14;304;NA;NA;23;8;4;12;22;4;15;100;22;18;NA;NA;0;1;1;0;0;0;0;NA
406;;AltoParaiso;8;17;11;12;10;18;305;NA;NA;32;11;4;12;21;4;13;84;22;15;NA;NA;0;1;1;2;0;0;0;0
12435;;AltoParaiso;7;15;11;10;10;16;285;2;0;36;12;4;12;12;1;12;81;19;15;7;NA;0;1;1;2;0;0;1;0
400;;AltoParaiso;10;16;12;12;10;14;267;1;0;27;8;3;12;21;3;14;93;20;16;7;NA;0;1;1;0;0;0;1;0
409;;AltoParaiso;10;17;10;13;10;17;297;NA;NA;27;9;4;12;21;6;14;87;20;16;NA;NA;0;1;1;2;0;0;1;NA
17522;;AltoParaiso;9;14;11;10;10;16;259;NA;NA;17;8;5;12;20;3;12;92;20;16;NA;NA;0;1;1;2;1;0;1;NA
12434;;AltoParaiso;9;13;12;11;11;15;269;NA;NA;23;8;3;12;22;3;13;93;22;15;NA;NA;0;1;0;0;0;0;1;NA
405;;AltoParaiso;9;16;11;13;10;16;266;NA;NA;23;9;5;12;20;5;12;93;21;17;6;NA;0;1;0;0;0;0;0;0
17521;;AltoParaiso;9;14;11;13;10;14;259;0;0;16;9;5;12;21;4;11;88;21;15;8;12;0;1;1;2;1;0;0;0
414;;AltoParaiso;10;17;12;12;10;16;286;1;0;NA;8;5;12;21;4;14;NA;NA;15;8;NA;0;1;0;2;0;0;0;0
415;;AltoParaiso;9;17;9;14;12;16;NA;NA;NA;NA;NA;5;12;NA;3;13;NA;NA;15;5;NA;0;1;1;2;0;0;0;0
416;;AltoParaiso;10;17;12;14;10;15;NA;NA;NA;NA;NA;3;11;20;6;14;NA;20;16;NA;NA;0;1;0;2;1;0;1;NA
412;;AltoParaiso;9;17;11;14;11;16;NA;NA;NA;NA;NA;NA;NA;NA;6;13;NA;NA;16;NA;NA;0;1;1;2;0;0;0;NA
417;;AltoParaiso;9;15;8;12;10;14;265;1;0;20;10;4;NA;NA;4;14;NA;20;16;7;NA;0;1;1;2;1;0;0;0
45316;;Caseara;11;14;10;12;10;16;286;NA;NA;43;10;4;16;24;6;12;88;18;14;NA;NA;0;1;1;2;0;0;0;NA
45304;;Caseara;11;16;12;12;10;16;NA;NA;NA;NA;NA;3;14;25;6;11;NA;17;14;7;NA;0;1;1;2;0;0;0;0
45322;;Caseara;10;15;12;10;8;14;261;2;0;45;9;5;14;24;6;11;87;20;14;6;NA;0;1;1;2;0;0;0;0
45328;;Caseara;9;15;10;10;9;14;255;NA;4;37;10;3;16;NA;6;11;NA;22;14;7;NA;0;1;1;0;0;0;0;0
45319;;Caseara;9;14;10;10;8;15;236;6;4;44;10;3;16;20;6;12;85;19;13;6;NA;0;1;1;2;0;0;1;0
45334;;Caseara;8;14;10;11;8;15;253;NA;NA;37;8;NA;14;22;6;11;92;18;15;NA;NA;0;0;1;2;0;0;1;NA
45326;;Caseara;11;15;10;10;8;16;260;3;4;40;9;3;14;21;6;12;NA;19;15;8;10;0;1;1;0;0;0;0;0
45318;;Caseara;9;15;10;13;10;14;292;NA;NA;48;10;2;15;22;6;12;94;19;14;5;NA;0;1;1;2;0;0;1;NA
45330;;Caseara;9;14;9;10;8;14;256;2;0;41;9;3;16;NA;7;10;NA;20;13;8;NA;0;1;0;2;0;0;1;1
45335;;Caseara;10;15;10;10;9;14;237;2;0;44;10;3;14;24;6;11;95;20;14;5;NA;0;1;1;0;0;0;0;NA
