"","Species","ID","Estado2","Lat2","Long2","Altitude","UF","Lat","Long","Altitude (m)","HemipenisMedido","Especie_Welington","Hemipenis_Evertido","No_LACV","Average coverage across loci","Loci passing coverage threshold","FabDocCh4AP","Colecao","FabDocCh2","FabMestrado","Localidade","Brazilian State","Latitude","Longitude","gymno_clades","Especie_Fabricius","Cytb Haplotype"," Genbank accession number cytb/ KIF24"
"11",NA,"44698","GO",-13.99,-48.09,511,NA,NA,NA,NA,NA,NA,NA,NA,2265.45,390,"SIM","CHUNB",NA,"SIM","ColinasdoSul",NA,-14.15,-48.07,2,NA,NA,NA
"12",NA,"2202","GO",-13.5,-48.4,427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Minacu",NA,NA,NA,NA,NA,NA,NA
"13",NA,"2211","GO",-13.5,-48.4,427,"GO",-13.5,48.4,425,NA,NA,NA,NA,NA,NA,NA,"GRC","SIM",NA,"Minaçu","GO",NA,NA,NA,"G. amarali Clade D","25","KM283279/ KM283344"
"14",NA,"2153","GO",-13.5,-48.4,427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Minacu",NA,NA,NA,NA,NA,NA,NA
"15",NA,"2154","GO",-13.5,-48.4,427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Minacu",NA,NA,NA,NA,NA,NA,NA
"16",NA,"2207","GO",-13.5,-48.4,427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Minacu",NA,NA,NA,NA,NA,NA,NA
"17",NA,"2199","GO",-13.5,-48.4,427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Minacu",NA,NA,NA,NA,NA,NA,NA
"18",NA,"831","GO",-13.5,-48.4,427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Minacu",NA,NA,NA,NA,NA,NA,NA
"19",NA,"832","GO",-13.5,-48.4,427,"GO",-13.5,48.4,425,"SIM","D","SIM","SIM",NA,NA,NA,"CHUNB","SIM",NA,"Minaçu","GO",NA,NA,NA,"G. amarali Clade D","26","KM283281/ KM283392"
"20",NA,"2204","GO",-13.5,-48.4,427,"GO",-13.5,48.4,425,NA,NA,NA,NA,NA,NA,NA,"GRC","SIM",NA,"Minaçu","GO",NA,NA,NA,"G. amarali Clade D","24","KM283278/ KM283343"
"21",NA,"2173","GO",-13.5,-48.4,427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Minacu",NA,NA,NA,NA,NA,NA,NA
"22",NA,"2152","GO",-13.5,-48.4,427,"GO",-13.5,48.4,425,NA,NA,NA,NA,1058.54,384,"SIM","GRC","SIM",NA,"Minaçu","GO",NA,NA,NA,"G. amarali Clade D","23","KM283277/ KM283342"
"23",NA,"53059","GO",-13.25,-46.9,564,"GO",-13.25,-46.9,579,NA,NA,NA,"SIM",NA,NA,NA,"CHUNB","SIM","SIM","MonteAlegre","GO",-13.09325,-47.02351,7,"G. amarali Clade G","28","KM283321/ KM283361"
"24",NA,"53062","GO",-13.25,-46.9,564,NA,NA,NA,NA,NA,NA,NA,"SIM",NA,NA,NA,"CHUNB",NA,"SIM","MonteAlegre",NA,-13.09325,-47.02351,7,NA,NA,NA
"25",NA,"53061","GO",-13.25,-46.9,564,"GO",-13.25,-46.9,579,NA,NA,NA,"SIM",NA,NA,NA,"CHUNB","SIM","SIM","MonteAlegre","GO",-13.09325,-47.02351,7,"G. amarali Clade G","28","KM283322/ KM283362"
"26",NA,"53052","GO",-13.25,-46.9,564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHUNB",NA,"SIM","MonteAlegre",NA,-13.09325,-47.02351,7,NA,NA,NA
"27",NA,"53054","GO",-13.25,-46.9,564,"GO",-13.25,-46.9,579,NA,NA,NA,"SIM",NA,NA,NA,"CHUNB","SIM","SIM","MonteAlegre","GO",-13.09325,-47.02351,7,"G. amarali Clade G","27","KM283319/ KM283359"
"28",NA,"53058","GO",-13.25,-46.9,564,"GO",-13.25,-46.9,579,NA,NA,NA,"SIM",NA,NA,NA,"CHUNB","SIM","SIM","MonteAlegre","GO",-13.09325,-47.02351,7,"G. amarali Clade G","28","KM283320/ KM283360"
"29",NA,"53056","GO",-13.25,-46.9,564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHUNB",NA,"SIM","MonteAlegre",NA,-13.09325,-47.02351,7,NA,NA,NA
"30",NA,"53060","GO",-13.25,-46.9,564,NA,NA,NA,NA,NA,NA,NA,"SIM",2665.26,391,"SIM","CHUNB",NA,"SIM","MonteAlegre",NA,-13.09325,-47.02351,7,NA,NA,NA
"31",NA,"53055","GO",-13.25,-46.9,564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHUNB",NA,"SIM","MonteAlegre",NA,-13.09325,-47.02351,7,NA,NA,NA
"32",NA,"53051","GO",-13.25,-46.9,564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHUNB",NA,"SIM","MonteAlegre",NA,-13.09325,-47.02351,7,NA,NA,NA
"33",NA,"1075","GO",-14.45,-48.45,594,"TO",-14.45,-48.45,718,NA,NA,NA,NA,NA,NA,NA,"LG","SIM",NA,"Niquelândia","GO",NA,NA,NA,"G. amarali Clade D","29","KM283283/ KM283406"
"34",NA,"1083","GO",-14.45,-48.45,594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Niquelandia",NA,NA,NA,NA,NA,NA,NA
"35",NA,"1072","GO",-14.45,-48.45,594,"TO",-14.45,-48.45,718,NA,NA,NA,NA,NA,NA,NA,"LG","SIM",NA,"Niquelândia","TO",NA,NA,NA,"G. amarali Clade D","29","KM283282/ KM283405"
"36",NA,"67395","GO",-15.81,-48.87,1324,"GO",-15.81,-48.87,1310,NA,NA,NA,NA,NA,NA,NA,"CHUNB","SIM",NA,"Pirenópolis","GO",NA,NA,NA,"G. amarali Clade C","45","KM283308/ KM283388"
"37",NA,"67440","GO",-15.81,-48.87,1324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pirenopolis",NA,NA,NA,NA,NA,NA,NA
"38",NA,"67396","GO",-15.81,-48.87,1324,"GO",-15.81,-48.87,1310,NA,NA,NA,NA,NA,NA,NA,"CHUNB","SIM",NA,"Pirenópolis","GO",NA,NA,NA,"G. amarali Clade C","45","KM283309/ KM283389"
"39",NA,"67399","GO",-15.81,-48.87,1324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pirenopolis",NA,NA,NA,NA,NA,NA,NA
"40",NA,"67392","GO",-15.81,-48.87,1324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pirenopolis",NA,NA,NA,NA,NA,NA,NA
"41",NA,"67394","GO",-15.81,-48.87,1324,"GO",-15.81,-48.87,1310,NA,NA,NA,NA,NA,NA,NA,"CHUNB","SIM",NA,"Pirenópolis","GO",NA,NA,NA,"G. amarali Clade C","45","KM283307/ KM283387"
"42",NA,"67397","GO",-15.81,-48.87,1324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pirenopolis",NA,NA,NA,NA,NA,NA,NA
"43",NA,"67437","GO",-15.81,-48.87,1324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pirenopolis",NA,NA,NA,NA,NA,NA,NA
"44",NA,"67441","GO",-15.81,-48.87,1324,"GO",-15.81,-48.87,1310,NA,"C","SIM","SIM",NA,NA,NA,"CHUNB","SIM",NA,"Pirenópolis","GO",NA,NA,NA,"G. amarali Clade C","46","KM283310/ KM283390"
"45",NA,"67438","GO",-15.81,-48.87,1324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pirenopolis",NA,NA,NA,NA,NA,NA,NA
"46",NA,"67393","GO",-15.81,-48.87,1324,NA,NA,NA,NA,"SIM","C","SIM","SIM",NA,NA,NA,"CHUNB",NA,NA,"Pirenopolis",NA,NA,NA,NA,NA,NA,NA
"47",NA,"67398","GO",-15.81,-48.87,1324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pirenopolis",NA,NA,NA,NA,NA,NA,NA
"48",NA,"67443","GO",-15.81,-48.87,1324,"GO",-15.81,-48.87,1310,NA,NA,NA,NA,NA,NA,NA,"CHUNB","SIM",NA,"Pirenópolis","GO",NA,NA,NA,"G. amarali Clade C","45","KM283311/ KM283391"
"49",NA,"15564","GO",-13.45,-46.45,456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sao Domingos",NA,NA,NA,NA,NA,NA,NA
"50",NA,"15560","GO",-13.45,-46.45,456,"GO",-13.45,-46.45,472,NA,NA,NA,NA,NA,NA,NA,"GRC","SIM",NA,"São Domingos","GO",NA,NA,NA,"G. amarali Clade A","47","KM283314/ KM283336"
"51",NA,"15558","GO",-13.45,-46.45,456,"GO",-13.45,-46.45,472,NA,NA,NA,NA,NA,NA,NA,"GRC","SIM",NA,"São Domingos","GO",NA,NA,NA,"G. amarali Clade A","47","KM283313/ KM283335"
"52",NA,"15568","GO",-13.45,-46.45,456,"GO",-13.45,-46.45,472,NA,NA,NA,NA,NA,NA,NA,"GRC","SIM",NA,"São Domingos","GO",NA,NA,NA,"G. amarali Clade A","47","KM283315/ KM283338"
"53",NA,"37161","GO",-13.45,-46.45,456,"GO",-13.45,-46.45,472,NA,NA,NA,NA,NA,NA,NA,"GRC","SIM","SIM","SaoDomingos","GO",-13.44979,-46.4481,1,"G. amarali Clade G","48","KM283318/ KM283351"
"54",NA,"15533","GO",-13.45,-46.45,456,"GO",-13.45,-46.45,472,NA,NA,NA,NA,NA,NA,NA,"GRC","SIM",NA,"São Domingos","GO",NA,NA,NA,"G. amarali Clade A","47","KM283312/ KM283334"
"55",NA,"15566","GO",-13.45,-46.45,456,"GO",-13.45,-46.45,472,NA,NA,NA,NA,NA,NA,NA,"GRC","SIM",NA,"São Domingos","GO",NA,NA,NA,"G. amarali Clade G","27","KM283317/ KM283337"
"56",NA,"15569","GO",-13.45,-46.45,456,"GO",-13.45,-46.45,472,NA,NA,NA,NA,NA,NA,NA,"GRC","SIM",NA,"São Domingos","GO",NA,NA,NA,"G. amarali Clade A","47","KM283316/ KM283339"
"57",NA,"15484","GO",-13.45,-46.45,456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sao Domingos",NA,NA,NA,NA,NA,NA,NA
"58",NA,"69384","GO",-13.45,-46.45,456,NA,NA,NA,NA,NA,NA,NA,NA,4618.6,390,"SIM",NA,NA,NA,"Sao Domingos",NA,NA,NA,NA,NA,NA,NA
"59",NA,"15534","GO",-13.45,-46.45,456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sao Domingos",NA,NA,NA,NA,NA,NA,NA
"60",NA,"00197","MA",-7.37,-47.43,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESTR","SIM",NA,"Carolina","MA",NA,NA,NA,"G. amarali Clade H","8","KM283249/ KM283398"
"61",NA,"52006","MA",-7.37,-47.43,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHUNB",NA,"SIM","Carolina",NA,-7.366666667,-47.43333333,12,NA,NA,NA
"62",NA,"00196","MA",-7.37,-47.43,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESTR","SIM",NA,"Carolina","MA",NA,NA,NA,"G. amarali Clade H","8","KM283248/ KM283397"
"63",NA,"1038","MA",-7.37,-47.43,176,"MA",-7.37,-47.43,175,NA,NA,NA,NA,NA,NA,NA,"ESTR","SIM","SIM","Estreito","MA",-6.5625,-47.4525,12,"G. amarali Clade H","7","KM283247/ KM283393"
"64",NA,"52007","MA",-7.37,-47.43,176,NA,NA,NA,NA,NA,NA,NA,NA,3060.78,390,"SIM","CHUNB",NA,"SIM","Carolina",NA,-7.366666667,-47.43333333,12,NA,NA,NA
"65",NA,"1293","MA",-6.56,-47.45,163,"MA",-6.56,-47.45,147,NA,NA,NA,NA,2742.3,390,"SIM","ESTR","SIM","SIM","Estreito","MA",-6.5625,-47.4525,12,"G. amarali Clade H","15","KM283258/ KM283394"
"66",NA,"0642","MA",-6.56,-47.45,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESTR","SIM",NA,"Estreito","MA",NA,NA,NA,"G. amarali Clade H","15","KM283261/ KM283399"
"67",NA,"0889","MT",-15.88,-52.25,294,NA,NA,NA,NA,NA,NA,NA,NA,1571.32,385,"SIM","LG","SIM",NA,"Barra do Garças","TO",NA,NA,NA,"G. amarali Clade B","6","KM283291/ KM283407"
"68",NA,"55883","MT",-15.2,-52.5,619,"MT",-15.2,-52.5,624,NA,"B","SIM","SIM",NA,NA,NA,"CHUNB","SIM","SIM","NovaXavantina","MT",-14.41,-52.2,4,"G. amarali Clade E","3","KM283244/ KM283368"
"69",NA,"55882","MT",-15.2,-52.5,619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHUNB",NA,"SIM","NovaXavantina",NA,-14.41,-52.2,4,NA,NA,NA
"70",NA,"55881","MT",-15.2,-52.5,619,"MT",-15.2,-52.5,624,NA,NA,NA,NA,NA,NA,NA,"CHUNB","SIM","SIM","NovaXavantina","MT",-14.41,-52.2,4,"G. amarali Clade E","2","KM283243/ KM283367"
"71",NA,"63196","MT",-15.2,-52.5,619,"MT",-15.2,-52.5,624,NA,NA,NA,NA,NA,NA,NA,"CHUNB","SIM",NA,"Barra do Garças","MT",NA,NA,NA,"G. amarali Clade E","4","KM283245/ KM283383"
"72",NA,"63198","MT",-15.2,-52.5,619,"MT",-15.2,-52.5,624,"SIM","E","SIM","SIM",NA,NA,NA,"CHUNB","SIM",NA,"Barra do Garças","MT",NA,NA,NA,"G. amarali Clade E","5","KM283246/ KM283384"
"73",NA,"63197","MT",-15.2,-52.5,619,NA,NA,NA,NA,NA,"E","SIM","SIM",NA,NA,NA,"CHUNB",NA,NA,"Barra do Garcas",NA,NA,NA,NA,NA,NA,NA
"74",NA,"55884","MT",-14.69,-52.34,283,"MT",-14.69,-52.34,292,NA,NA,NA,NA,NA,NA,NA,"CHUNB","SIM","SIM","NovaXavantina","MT",-14.41,-52.2,4,"G. amarali Clade B","30","KM283285/ KM283369"
"75",NA,"63195","MT",-14.69,-52.34,283,"MT",-14.69,-52.34,292,NA,NA,NA,NA,NA,NA,NA,"GRC","SIM",NA,"Nova Xavantina","MT",NA,NA,NA,"G. amarali Clade B","33","KM283327/ KM283382"
"76",NA,"55885","MT",-14.69,-52.34,283,"MT",-14.69,-52.34,292,NA,NA,NA,NA,NA,NA,NA,"CHUNB","SIM","SIM","NovaXavantina","MT",-14.41,-52.2,4,"G. amarali Clade B","30","KM283286/ KM283370"
"77",NA,"55886","MT",-14.69,-52.34,283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHUNB",NA,"SIM","NovaXavantina",NA,-14.41,-52.2,4,NA,NA,NA
"78",NA,"63204","MT",-14.69,-52.34,283,"MT",-14.69,-52.34,292,NA,NA,NA,NA,NA,NA,NA,"GRC","SIM",NA,"Nova Xavantina","MT",NA,NA,NA,"G. amarali Clade B","35","KM283329/ KM283386"
"79",NA,"55880","MT",-14.69,-52.34,283,"MT",-14.69,-52.34,292,NA,"B","SIM","SIM",NA,NA,NA,"CHUNB","SIM","SIM","NovaXavantina","MT",-14.41,-52.2,4,"G. amarali Clade B","30","KM283284/ KM283366"
"80",NA,"55887","MT",-14.69,-52.34,283,"MT",-14.69,-52.34,292,NA,"B","SIM","SIM",NA,NA,NA,"CHUNB","SIM","SIM","NovaXavantina","MT",-14.41,-52.2,4,"G. amarali Clade B","30","KM283287/ KM283371"
"81",NA,"55888","MT",-14.69,-52.34,283,"MT",-14.69,-52.34,292,NA,NA,NA,"SIM",NA,NA,NA,"CHUNB","SIM","SIM","NovaXavantina","MT",-14.41,-52.2,4,"G. amarali Clade B","30","KM283288/ KM283372"
"82",NA,"55890","MT",-14.69,-52.34,283,"MT",-14.69,-52.34,292,NA,NA,NA,NA,NA,NA,NA,"CHUNB","SIM","SIM","NovaXavantina","MT",-14.41,-52.2,4,"G. amarali Clade B","32","KM283290/ KM283374"
"83",NA,"55889","MT",-14.69,-52.34,283,"MT",-14.69,-52.34,292,NA,"B","SIM","SIM",NA,NA,NA,"CHUNB","SIM","SIM","NovaXavantina","MT",-14.41,-52.2,4,"G. amarali Clade B","31","KM283289/ KM283373"
"84",NA,"21228","MT",-14.69,-52.34,283,NA,NA,NA,NA,NA,NA,NA,NA,1942.29,391,"SIM","GRC",NA,NA,"Nova Xavantina",NA,NA,NA,NA,NA,NA,NA
"85",NA,"14517","TO",-11.24,-46.81,522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Almas (EESGT)",NA,NA,NA,NA,NA,NA,NA
"86",NA,"14808","TO",-11.24,-46.81,522,"TO",-11.24,-46.81,523,NA,NA,NA,NA,NA,NA,NA,"MTR","SIM",NA,"Almas","TO",NA,NA,NA,"G. amarali Clade H","1","KM283299/ KM283416"
"87",NA,"14609","TO",-11.24,-46.81,522,"TO",-11.24,-46.81,523,NA,NA,NA,NA,NA,NA,NA,"MTR","SIM",NA,"Almas","TO",NA,NA,NA,"G. amarali Clade H","1","KM283298/ KM283415"
"88",NA,"14237","TO",-11.24,-46.81,522,NA,NA,NA,NA,NA,NA,NA,NA,2402.9,391,"SIM","MTR",NA,NA,"Almas (EESGT)",NA,NA,NA,NA,NA,NA,NA
"89",NA,"14552","TO",-11.24,-46.81,522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Almas (EESGT)",NA,NA,NA,NA,NA,NA,NA
"90",NA,"14578","TO",-11.24,-46.81,522,"TO",-11.24,-46.81,523,NA,NA,NA,NA,NA,NA,NA,"MTR","SIM",NA,"Almas","TO",NA,NA,NA,"G. amarali Clade H","1","KM283297/ KM283408"
"91",NA,"14510","TO",-11.24,-46.81,522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Almas (EESGT)",NA,NA,NA,NA,NA,NA,NA
"92",NA,"45278","TO",-9.37,-49.84,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Caseara",NA,NA,NA,NA,NA,NA,NA
"93",NA,"45318","TO",-9.37,-49.84,185,"TO",-9.37,-49.84,186,NA,NA,NA,NA,NA,NA,NA,"CHUNB","SIM","SIM","Caseara","TO",-9.37229,-49.84295,5,"G. amarali Clade H","9","KM283251/ KM283356"
"94",NA,"45324","TO",-9.37,-49.84,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHUNB",NA,"SIM","Caseara",NA,-9.37229,-49.84295,5,NA,NA,NA
"95",NA,"45336","TO",-9.37,-49.84,185,"TO",-9.37,-49.84,186,NA,NA,NA,"SIM",2733.41,389,"SIM","CHUNB","SIM","SIM","Caseara","TO",-9.37229,-49.84295,5,"G. amarali Clade H","9","KM283253/ KM283358"
"96",NA,"45321","TO",-9.37,-49.84,185,"TO",-9.37,-49.84,186,NA,NA,NA,NA,NA,NA,NA,"CHUNB","SIM","SIM","Caseara","TO",-9.37229,-49.84295,5,"G. amarali Clade H","10","KM283252/ KM283357"
"97",NA,"45283","TO",-9.37,-49.84,185,"TO",-9.37,-49.84,186,NA,NA,NA,NA,NA,NA,NA,NA,"SIM",NA,"Caseara","TO",NA,NA,NA,"G. amarali Clade H","9","KM283250/ KM283355"
"98",NA,"62616","TO",-12.81,-46.48,404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Combinado",NA,NA,NA,NA,NA,NA,NA
"99",NA,"62569","TO",-12.18,-48.96,288,NA,NA,NA,NA,NA,NA,NA,NA,2125.05,390,"SIM",NA,NA,NA,"Figueiropolis",NA,NA,NA,NA,NA,NA,NA
"100",NA,"1759","TO",-7.69,-47.35,187,"TO",-7.69,-47.35,206,NA,NA,NA,NA,NA,NA,NA,"ESTR","SIM","SIM","Estreito","TO",-6.5625,-47.4525,12,"G. amarali Clade H","16","KM283259/ KM283395"
"101",NA,"1808","TO",-7.69,-47.35,187,"TO",-7.69,-47.35,206,NA,NA,NA,NA,NA,NA,NA,"ESTR","SIM","SIM","Estreito","TO",-6.5625,-47.4525,12,"G. amarali Clade H","17","KM283260/ KM283396"
"102",NA,"7479","TO",-8.83,-48.52,265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Guarai",NA,NA,NA,NA,NA,NA,NA
"103",NA,"7542","TO",-8.83,-48.52,265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Guarai",NA,NA,NA,NA,NA,NA,NA
"104",NA,"7598","TO",-8.83,-48.52,265,"TO",-8.83,-48.52,266,NA,NA,NA,NA,NA,NA,NA,"MTR","SIM",NA,"Guarai","TO",NA,NA,NA,"G. amarali Clade H","18","KM283263/ KM283414"
"105",NA,"7552","TO",-8.83,-48.52,265,"TO",-8.83,-48.52,266,NA,NA,NA,NA,NA,NA,NA,"MTR","SIM",NA,"Guarai","TO",NA,NA,NA,"G. amarali Clade H","18","KM283262/ KM283413"
"106",NA,"8991","TO",-9.85,-48.32,487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lajeado (UHE)",NA,NA,NA,NA,NA,NA,NA
"107",NA,"6918","TO",-9.85,-48.32,487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lajeado (UHE)",NA,NA,NA,NA,NA,NA,NA
"108",NA,"14241","TO",-9.85,-48.32,487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lajeado (UHE)",NA,NA,NA,NA,NA,NA,NA
"109",NA,"6889","TO",-9.85,-48.32,487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lajeado (UHE)",NA,NA,NA,NA,NA,NA,NA
"110",NA,"215","TO",-9.85,-48.32,487,"TO",-9.85,-48.32,229,NA,NA,NA,NA,763.63,378,"SIM","LAJ",NA,NA,"Lajeado",NA,NA,NA,NA,NA,NA,NA
"111",NA,"9034","TO",-9.85,-48.32,487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lajeado (UHE)",NA,NA,NA,NA,NA,NA,NA
"112",NA,"8674","TO",-10.7,-46.41,632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mateiros",NA,NA,NA,NA,NA,NA,NA
"113",NA,"8743","TO",-10.7,-46.41,632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mateiros",NA,NA,NA,NA,NA,NA,NA
"114",NA,"8675","TO",-10.7,-46.41,632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mateiros",NA,NA,NA,NA,NA,NA,NA
"115",NA,"8841","TO",-10.7,-46.41,632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mateiros",NA,NA,NA,NA,NA,NA,NA
"116",NA,"8928","TO",-10.7,-46.41,632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mateiros",NA,NA,NA,NA,NA,NA,NA
"117",NA,"28222","TO",-10.7,-46.41,632,"TO",-10.7,-46.41,629,NA,NA,NA,"SIM",NA,NA,NA,"CHUNB","SIM","SIM","Mateiros","TO",-10.70224,-46.41278,10,"G. amarali Clade H","21","KM283273/ KM283347"
"118",NA,"8808","TO",-10.7,-46.41,632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mateiros",NA,NA,NA,NA,NA,NA,NA
"119",NA,"8980","TO",-10.7,-46.41,632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mateiros",NA,NA,NA,NA,NA,NA,NA
"120",NA,"28224","TO",-10.7,-46.41,632,NA,NA,NA,NA,NA,NA,NA,"SIM",NA,NA,NA,"CHUNB",NA,"SIM","Mateiros",NA,-10.70224,-46.41278,10,NA,NA,NA
"121",NA,"28219","TO",-10.7,-46.41,632,"TO",-10.7,-46.41,629,NA,NA,NA,"SIM",1546.24,379,"SIM","CHUNB","SIM","SIM","Mateiros","TO",-10.70224,-46.41278,10,"G. amarali Clade H","21","KM283271/ KM283345"
"122",NA,"28220","TO",-10.7,-46.41,632,"TO",-10.7,-46.41,629,NA,NA,NA,"SIM",NA,NA,NA,"CHUNB","SIM","SIM","Mateiros","TO",-10.70224,-46.41278,10,"G. amarali Clade H","21","KM283272/ KM283346"
