"","ID","Average coverage across loci","Loci passing coverage threshold","FabDocCh4AP","Colecao","FabDocCh2","FabMestrado","Localidade","Locality","Brazilian State","Latitude","Longitude","gymno_clades","Species","Cytb Haplotype"," Genbank accession number cytb/ KIF24"
"65","1072",NA,NA,NA,"LG","SIM",NA,NA,"Niquelândia","TO",NA,NA,NA,"G. amarali Clade D","29","KM283282/ KM283405"
"66","1075",NA,NA,NA,"LG","SIM",NA,NA,"Niquelândia","GO",NA,NA,NA,"G. amarali Clade D","29","KM283283/ KM283406"
"67","55880",NA,NA,NA,"CHUNB","SIM","SIM","NovaXavantina","Nova Xavantina","MT",-14.41,-52.2,4,"G. amarali Clade B","30","KM283284/ KM283366"
"68","55884",NA,NA,NA,"CHUNB","SIM","SIM","NovaXavantina","Nova Xavantina","MT",-14.41,-52.2,4,"G. amarali Clade B","30","KM283285/ KM283369"
"69","55885",NA,NA,NA,"CHUNB","SIM","SIM","NovaXavantina","Nova Xavantina","MT",-14.41,-52.2,4,"G. amarali Clade B","30","KM283286/ KM283370"
"70","55887",NA,NA,NA,"CHUNB","SIM","SIM","NovaXavantina","Nova Xavantina","MT",-14.41,-52.2,4,"G. amarali Clade B","30","KM283287/ KM283371"
"71","55888",NA,NA,NA,"CHUNB","SIM","SIM","NovaXavantina","Nova Xavantina","MT",-14.41,-52.2,4,"G. amarali Clade B","30","KM283288/ KM283372"
"72","55889",NA,NA,NA,"CHUNB","SIM","SIM","NovaXavantina","Nova Xavantina","MT",-14.41,-52.2,4,"G. amarali Clade B","31","KM283289/ KM283373"
"73","55890",NA,NA,NA,"CHUNB","SIM","SIM","NovaXavantina","Nova Xavantina","MT",-14.41,-52.2,4,"G. amarali Clade B","32","KM283290/ KM283374"
"74","63195",NA,NA,NA,"GRC","SIM",NA,NA,"Nova Xavantina","MT",NA,NA,NA,"G. amarali Clade B","33","KM283327/ KM283382"
"75","63203",NA,NA,NA,"GRC","SIM",NA,NA,"Nova Xavantina","MT",NA,NA,NA,"G. amarali Clade B","34","KM283328/ KM283385"
"76","63204",NA,NA,NA,"GRC","SIM",NA,NA,"Nova Xavantina","MT",NA,NA,NA,"G. amarali Clade B","35","KM283329/ KM283386"
"77","10440",NA,NA,NA,"GRC","SIM",NA,NA,"Palmas","TO",NA,NA,NA,"G. amarali Clade H","36","KM283294/ KM283330"
"78","10771",NA,NA,NA,"GRC","SIM",NA,NA,"Palmas","TO",NA,NA,NA,"G. amarali Clade F","37","KM283292/ KM283332"
