"","Tombo","Localidade","gymno_clades","Latitude","Longitude","cantr","asup","ainf","sup","inf","supra","dor","fqui","qui","tub","ocel","ocef","ftub","vem","men","lam","fven","fem","lama","clo","ane","nas","supn","front","ftim","ptim","odor","omem","anec"
"19",402,"AltoParaiso",3,-14.16222,-47.52332,7,17,11,12,10,13,196,5,4,38,8,2,14,22,3,12,67,20,15,6,10,0,1,1,2,0,0,1,0
"20",407,"AltoParaiso",3,-14.16222,-47.52332,9,17,11,13,10,16,297,1,0,25,8,2,12,22,4,13,101,21,17,7,12,0,1,1,2,0,0,2,0
"21",410,"AltoParaiso",3,-14.16222,-47.52332,9,16,10,13,10,15,273,1,0,24,9,5,12,21,3,14,92,21,17,5,12,0,1,0,0,0,0,0,0
"22",413,"AltoParaiso",3,-14.16222,-47.52332,8,14,13,13,10,14,281,4,4,32,12,4,12,21,5,13,90,20,14,7,17,0,2,0,2,0,0,0,0
"23",408,"AltoParaiso",3,-14.16222,-47.52332,10,17,12,14,10,14,286,3,3,28,10,4,12,21,3,14,93,20,16,6,11,0,1,1,0,0,0,1,0
"24",401,"AltoParaiso",3,-14.16222,-47.52332,9,16,12,12,10,16,282,1,0,31,7,4,11,21,7,13,91,20,15,9,12,0,1,1,0,0,0,1,0
"25",404,"AltoParaiso",3,-14.16222,-47.52332,9,14,11,14,10,15,290,3,2,26,9,4,12,22,5,12,94,21,16,9,12,0,1,1,2,0,0,0,0
"26",411,"AltoParaiso",3,-14.16222,-47.52332,10,18,12,12,11,14,304,5,3,23,8,4,12,22,4,15,100,22,18,5,12,0,1,1,0,0,0,0,0
"27",406,"AltoParaiso",3,-14.16222,-47.52332,8,17,11,12,10,18,305,3,2,32,11,4,12,21,4,13,84,22,15,5,13,0,1,1,2,0,0,0,0
"28",12435,"AltoParaiso",3,-14.16222,-47.52332,7,15,11,10,10,16,285,2,0,36,12,4,12,22,1,12,81,19,15,7,11,0,1,1,2,0,0,1,0
"29",400,"AltoParaiso",3,-14.16222,-47.52332,10,16,12,12,10,14,267,1,0,27,8,3,12,21,3,14,93,20,16,7,11,0,1,1,0,0,0,1,0
"30",409,"AltoParaiso",3,-14.16222,-47.52332,10,17,10,13,10,17,297,5,4,27,9,4,12,21,6,14,87,20,16,7,12,0,1,1,2,0,0,1,0
"31",17522,"AltoParaiso",3,-14.16222,-47.52332,9,14,11,10,10,16,259,3,5,17,8,5,12,20,3,12,92,20,16,7,11,0,1,1,2,1,0,1,0
"32",12434,"AltoParaiso",3,-14.16222,-47.52332,9,13,12,11,11,15,269,1,0,23,8,3,12,22,3,13,93,22,15,6,13,0,1,0,0,0,0,1,0
"33",405,"AltoParaiso",3,-14.16222,-47.52332,9,16,11,13,10,16,266,4,4,23,9,5,12,20,5,12,93,21,17,6,16,0,1,0,0,0,0,0,0
"34",17521,"AltoParaiso",3,-14.16222,-47.52332,9,14,11,13,10,14,259,0,0,16,9,5,12,21,4,11,88,21,15,8,12,0,1,1,2,1,0,0,0
"35",414,"AltoParaiso",3,-14.16222,-47.52332,10,17,12,12,10,16,286,1,0,28,8,5,12,21,4,14,94,22,15,8,12,0,1,0,2,0,0,0,0
"36",415,"AltoParaiso",3,-14.16222,-47.52332,9,17,9,14,12,16,148,4,3,27,6,5,12,21,3,13,69,22,15,5,16,0,1,1,2,0,0,0,0
"37",416,"AltoParaiso",3,-14.16222,-47.52332,10,17,12,14,10,15,282,3,3,35,10,3,11,20,6,14,91,20,16,8,11,0,1,0,2,1,0,1,0
"38",412,"AltoParaiso",3,-14.16222,-47.52332,9,17,11,14,11,16,259,6,3,37,10,3,14,22,6,13,87,20,16,7,10,0,1,1,2,0,0,0,0
"39",417,"AltoParaiso",3,-14.16222,-47.52332,9,15,8,12,10,14,265,1,0,20,10,4,12,22,4,14,85,20,16,7,11,0,1,1,2,1,0,0,0
"40",93075,"AltoParnaiba",NA,-9.1,-45.95,7,16,13,11,10,13,176,7,4,37,9,2,14,16,5,12,57,21,14,4,10,0,1,1,2,0,0,0,0
"41",78736,"BarradoGarcas",4,-15.88333333,-52.25,7,16,12,12,10,14,213,6,3,36,8,4,14,19,6,13,72,21,15,6,17,1,1,1,2,0,0,0,0
"42",78735,"BarradoGarcas",4,-15.88333333,-52.25,7,14,11,12,10,13,177,6,4,31,8,4,14,19,4,11,49,20,16,5,12,1,1,1,2,0,0,1,0
"43",78732,"BarradoGarcas",4,-15.88333333,-52.25,8,16,8,12,9,13,165,4,4,31,6,3,13,17,5,12,60,21,16,4,12,0,1,0,2,0,0,1,0
"44",78733,"BarradoGarcas",4,-15.88333333,-52.25,7,14,10,14,10,13,162,4,3,23,6,3,14,18,3,12,66,19,16,5,12,0,1,1,2,0,0,1,0
"45",78738,"BarradoGarcas",4,-15.88333333,-52.25,8,15,10,12,8,13,170,9,4,38,9,3,14,21,4,11,68,22,16,6,12,0,1,0,2,0,0,1,0
"46",78737,"BarradoGarcas",4,-15.88333333,-52.25,7,15,9,11,10,13,193,6,4,29,10,5,13,21,6,14,61,21,16,6,13,0,1,0,0,0,0,0,0
"47",78734,"BarradoGarcas",4,-15.88333333,-52.25,8,16,10,12,10,13,178,6,5,31,9,5,14,19,4,12,63,19,14,6,12,1,1,0,0,0,0,1,0
"48",4020,"BarraRioSaoDomingos",NA,-13.24,-47.12,7,17,12,14,10,14,166,8,4,38,8,3,15,22,5,13,62,19,17,7,18,1,2,0,2,0,0,0,0
"49",4030,"BarraRioSaoDomingos",NA,-13.24,-47.12,8,17,11,12,10,15,147,7,4,29,8,3,16,19,3,12,59,22,16,6,17,1,2,0,2,0,0,2,0
"50",4021,"BarraRioSaoDomingos",NA,-13.24,-47.12,8,16,12,13,10,15,162,7,3,37,7,4,14,21,6,13,67,21,16,5,17,0,1,1,2,0,0,1,0
"51",4007,"BarraRioSaoDomingos",NA,-13.24,-47.12,8,15,12,14,11,15,187,8,4,36,8,2,14,21,3,14,66,23,16,5,12,1,1,1,0,0,0,1,0
"52",4033,"BarraRioSaoDomingos",NA,-13.24,-47.12,7,14,10,12,10,15,238,4,3,32,9,2,14,20,7,14,87,20,17,7,16,1,2,0,2,0,0,2,0
"53",4026,"BarraRioSaoDomingos",NA,-13.24,-47.12,8,18,12,12,12,14,176,7,4,37,8,5,14,18,3,15,74,22,13,8,12,0,2,0,2,1,0,0,0
"54",4015,"BarraRioSaoDomingos",NA,-13.24,-47.12,7,18,12,12,10,13,181,7,4,35,8,3,14,20,5,14,77,22,16,5,10,1,1,1,0,0,0,1,0
"55",4013,"BarraRioSaoDomingos",NA,-13.24,-47.12,8,15,11,12,10,14,169,6,4,35,9,4,15,20,8,12,69,22,15,7,15,0,1,1,0,0,0,0,0
"56",4017,"BarraRioSaoDomingos",NA,-13.24,-47.12,9,18,11,12,10,13,239,7,4,34,9,3,14,21,2,14,68,21,15,6,12,0,2,1,2,1,0,0,0
"57",4019,"BarraRioSaoDomingos",NA,-13.24,-47.12,8,18,12,14,10,13,178,6,3,36,9,2,14,19,4,14,67,21,16,5,13,0,2,0,0,0,0,0,0
"58",4032,"BarraRioSaoDomingos",NA,-13.24,-47.12,8,16,11,12,10,16,188,6,3,35,11,3,13,21,7,13,74,22,17,7,17,1,1,1,0,0,0,0,0
"59",4008,"BarraRioSaoDomingos",NA,-13.24,-47.12,8,17,10,12,10,15,201,10,7,42,7,3,14,19,7,14,66,23,12,10,13,1,1,1,2,0,0,1,0
"60",4006,"BarraRioSaoDomingos",NA,-13.24,-47.12,8,18,10,12,10,13,166,6,5,36,9,3,13,19,8,12,62,23,16,8,12,0,1,0,2,0,0,0,0
"61",4018,"BarraRioSaoDomingos",NA,-13.24,-47.12,8,18,13,14,12,16,181,7,3,35,9,3,14,20,3,14,68,19,16,4,14,0,2,0,0,0,0,0,0
"62",4031,"BarraRioSaoDomingos",NA,-13.24,-47.12,7,16,11,12,11,13,163,7,4,36,8,3,16,18,4,13,58,21,16,6,13,0,1,1,2,0,0,0,0
"63",4025,"BarraRioSaoDomingos",NA,-13.24,-47.12,8,15,11,13,10,13,152,7,3,34,8,4,13,21,8,14,66,20,16,6,12,0,1,0,2,0,0,0,0
"64",4016,"BarraRioSaoDomingos",NA,-13.24,-47.12,8,15,11,12,10,14,159,4,2,35,7,2,14,18,3,14,69,16,16,7,13,0,2,0,0,1,0,0,0
"65",4029,"BarraRioSaoDomingos",NA,-13.24,-47.12,8,16,12,12,10,14,172,7,3,26,10,5,14,19,3,13,54,17,13,5,11,0,1,1,2,0,0,0,0
"66",4009,"BarraRioSaoDomingos",NA,-13.24,-47.12,9,16,11,13,11,15,236,6,7,36,9,4,14,21,3,12,62,21,16,7,13,0,1,1,0,0,0,0,0
"67",4010,"BarraRioSaoDomingos",NA,-13.24,-47.12,7,18,11,14,12,13,162,6,3,33,9,5,15,19,4,14,56,22,16,5,11,1,1,1,0,0,0,0,0
"68",4014,"BarraRioSaoDomingos",NA,-13.24,-47.12,8,16,12,12,11,14,166,7,3,36,9,4,12,21,7,12,64,21,15,5,10,0,1,0,2,0,0,0,0
"69",4022,"BarraRioSaoDomingos",NA,-13.24,-47.12,8,16,12,13,10,15,154,7,4,37,8,2,12,21,6,13,69,20,16,6,11,1,1,1,2,0,0,1,0
"70",4011,"BarraRioSaoDomingos",NA,-13.24,-47.12,8,15,12,13,12,14,159,8,5,31,9,3,14,21,4,13,63,19,15,6,15,1,2,0,0,0,0,0,0
"71",4028,"BarraRioSaoDomingos",NA,-13.24,-47.12,8,16,11,14,10,14,159,7,3,38,9,5,14,19,4,14,72,24,16,5,17,0,1,0,2,0,0,0,0
"72",4027,"BarraRioSaoDomingos",NA,-13.24,-47.12,7,15,11,12,10,14,162,5,4,38,9,4,14,21,7,14,70,21,16,6,13,0,1,0,0,1,0,0,0
"73",4012,"BarraRioSaoDomingos",NA,-13.24,-47.12,7,16,12,13,12,13,181,4,2,32,6,3,14,20,3,13,67,23,18,6,13,1,2,1,0,0,0,0,0
"74",37296,"BomJesusTocantins",NA,-8.96,-48.16,8,16,10,11,10,14,205,6,4,34,15,3,14,20,4,12,69,19,14,5,12,0,1,1,2,0,0,0,0
"75",67156,"Buritis",NA,-15.61777778,-46.42333333,8,16,13,12,10,13,166,9,4,38,8,2,12,20,4,12,63,19,14,6,11,1,1,1,2,0,0,1,0
"76",67155,"Buritis",NA,-15.61777778,-46.42333333,8,16,11,12,10,13,159,6,3,33,7,2,12,18,6,13,61,18,15,5,12,1,2,0,2,0,0,1,0
"77",4004,"CanaBrava",NA,-13.50833333,-48.35555556,8,15,9,13,11,12,151,6,4,37,9,4,14,19,3,15,62,22,14,7,13,0,2,0,2,0,0,0,0
"78",4000,"CanaBrava",NA,-13.50833333,-48.35555556,7,14,9,12,10,12,161,6,4,35,8,2,14,17,3,12,56,21,15,6,12,0,1,1,2,0,0,0,0
"79",4003,"CanaBrava",NA,-13.50833333,-48.35555556,8,16,11,13,12,13,161,6,4,31,10,2,14,17,5,11,56,21,16,4,11,0,2,0,0,0,0,0,0
"80",4002,"CanaBrava",NA,-13.50833333,-48.35555556,7,16,11,12,11,12,176,7,5,38,10,4,14,16,2,13,67,18,16,4,15,1,1,1,2,0,0,0,0
"81",4001,"CanaBrava",NA,-13.50833333,-48.35555556,6,15,12,13,10,12,159,5,4,33,8,2,15,18,4,14,65,21,17,4,14,0,1,1,0,0,0,1,0
"82",4005,"CanaBrava",NA,-13.50833333,-48.35555556,7,16,10,13,12,12,169,6,4,32,8,2,15,20,5,16,69,22,17,4,13,1,2,0,0,0,0,0,0
"83",52007,"Carolina",12,-7.366666667,-47.43333333,7,15,10,10,10,13,230,4,4,42,11,3,14,16,5,11,66,21,15,5,13,1,1,1,2,0,0,1,0
"84",52008,"Carolina",12,-7.366666667,-47.43333333,9,15,11,10,10,13,206,5,3,34,8,4,14,20,5,11,68,21,16,6,10,1,1,1,2,0,0,0,0
"85",52006,"Carolina",12,-7.366666667,-47.43333333,9,19,13,12,10,14,238,5,3,38,13,3,14,16,5,12,66,19,16,5,11,1,1,1,2,0,0,0,0
"86",7116,"Carolina",12,-7.366666667,-47.43333333,8,14,10,10,10,14,174,8,4,39,11,4,15,21,6,13,67,19,16,6,11,0,1,1,0,0,0,2,0
"87",7115,"Carolina",12,-7.366666667,-47.43333333,7,18,11,10,10,13,193,4,4,36,11,3,14,18,6,12,76,20,16,6,10,0,1,0,0,0,0,0,0
"88",45316,"Caseara",5,-9.37229,-49.84295,11,14,10,12,10,16,286,5,3,43,10,4,16,24,6,12,88,18,14,8,15,0,1,1,2,0,0,0,0
"89",45304,"Caseara",5,-9.37229,-49.84295,11,16,12,12,10,16,304,1,0,38,10,3,14,25,6,11,97,17,14,7,13,0,1,1,2,0,0,0,0
"90",45322,"Caseara",5,-9.37229,-49.84295,10,15,12,10,8,14,261,2,0,45,9,5,14,24,6,11,87,20,14,6,12,0,1,1,2,0,0,0,0
"91",45328,"Caseara",5,-9.37229,-49.84295,9,15,10,10,9,14,255,4,4,37,10,3,16,19,6,11,74,22,14,7,12,0,1,1,0,0,0,0,0
"92",45319,"Caseara",5,-9.37229,-49.84295,9,14,10,10,8,15,236,6,4,44,10,3,16,20,6,12,85,19,13,6,12,0,1,1,2,0,0,1,0
"93",45334,"Caseara",5,-9.37229,-49.84295,8,14,10,11,8,15,253,4,3,37,8,4,14,22,6,11,92,18,15,6,17,0,0,1,2,0,0,1,0
"94",45326,"Caseara",5,-9.37229,-49.84295,11,15,10,10,8,16,260,3,4,40,9,3,14,21,6,12,82,19,15,8,10,0,1,1,0,0,0,0,0
"95",45318,"Caseara",5,-9.37229,-49.84295,9,15,10,13,10,14,292,7,4,48,10,2,15,22,6,12,94,19,14,5,13,0,1,1,2,0,0,1,0
"96",45330,"Caseara",5,-9.37229,-49.84295,9,14,9,10,8,14,256,2,0,41,9,3,16,25,7,10,100,20,13,8,0,0,1,0,2,0,0,1,1
"97",45335,"Caseara",5,-9.37229,-49.84295,10,15,10,10,9,14,237,2,0,44,10,3,14,24,6,11,95,20,14,5,15,0,1,1,0,0,0,0,0
"98",45333,"Caseara",5,-9.37229,-49.84295,9,15,9,11,8,13,276,3,0,44,10,3,14,22,6,12,93,20,14,8,11,0,1,1,2,0,0,0,0
"99",45302,"Caseara",5,-9.37229,-49.84295,10,16,12,12,10,13,256,5,3,40,12,4,14,23,6,11,86,19,14,6,11,0,1,0,2,0,0,1,0
"100",45314,"Caseara",5,-9.37229,-49.84295,9,16,10,11,8,12,247,2,0,41,10,4,14,23,7,11,84,20,13,5,12,0,1,0,2,0,0,0,0
"101",45309,"Caseara",5,-9.37229,-49.84295,9,13,9,10,9,14,244,1,0,39,9,3,14,22,6,10,95,19,12,5,12,0,0,1,2,0,0,0,0
"102",45305,"Caseara",5,-9.37229,-49.84295,10,14,9,11,8,13,236,3,3,29,8,4,14,21,5,11,87,21,13,5,13,0,1,1,2,0,0,1,0
"103",45306,"Caseara",5,-9.37229,-49.84295,10,14,9,10,8,15,244,4,3,39,9,2,14,22,6,11,86,19,13,8,12,0,1,1,2,0,0,0,0
"104",45331,"Caseara",5,-9.37229,-49.84295,8,14,10,11,9,13,245,3,3,44,9,4,14,25,5,13,86,20,14,6,15,0,1,0,2,0,0,1,0
"105",45324,"Caseara",5,-9.37229,-49.84295,9,14,9,10,8,14,241,6,4,40,11,4,14,22,6,12,84,19,15,7,12,0,1,0,2,0,0,0,0
"106",45317,"Caseara",5,-9.37229,-49.84295,9,14,10,10,8,13,265,2,0,42,11,3,15,23,7,12,80,19,14,5,12,0,1,1,0,1,0,0,0
"107",45327,"Caseara",5,-9.37229,-49.84295,10,14,10,12,10,16,245,4,4,40,11,4,15,22,7,12,78,20,13,7,11,0,1,1,0,0,0,0,0
"108",45332,"Caseara",5,-9.37229,-49.84295,9,14,10,10,8,14,253,5,2,37,10,5,14,20,6,10,84,19,14,6,12,0,1,0,2,1,0,0,0
"109",45321,"Caseara",5,-9.37229,-49.84295,9,14,10,12,10,16,266,4,4,43,11,3,16,21,7,11,82,18,14,6,12,0,1,1,0,0,0,1,0
"110",45311,"Caseara",5,-9.37229,-49.84295,9,13,10,12,9,15,240,7,4,42,8,2,14,20,7,12,65,19,14,7,12,0,1,1,0,0,0,1,0
"111",45310,"Caseara",5,-9.37229,-49.84295,9,14,11,10,8,14,246,4,3,40,9,3,14,22,6,11,83,20,14,5,14,0,1,1,2,0,0,0,0
"112",45307,"Caseara",5,-9.37229,-49.84295,10,13,11,10,8,15,268,5,3,41,10,2,14,21,6,11,82,19,13,7,10,0,1,1,2,0,0,1,0
"113",45313,"Caseara",5,-9.37229,-49.84295,9,13,11,12,10,15,257,7,5,40,9,2,14,20,6,11,86,20,14,5,10,0,1,1,2,0,0,1,0
"114",45336,"Caseara",5,-9.37229,-49.84295,9,13,9,12,10,14,268,4,3,42,9,2,14,20,6,11,76,19,13,5,13,0,1,1,2,0,0,0,0
"115",45323,"Caseara",5,-9.37229,-49.84295,10,11,10,10,8,13,250,7,4,47,11,2,14,23,6,13,84,20,14,8,10,0,1,1,2,0,0,0,0
"116",45329,"Caseara",5,-9.37229,-49.84295,9,15,12,12,10,15,232,4,4,43,11,3,14,22,8,13,82,18,14,8,13,0,1,0,2,1,0,1,0
"117",45325,"Caseara",5,-9.37229,-49.84295,9,14,10,12,8,14,238,3,4,51,12,5,16,23,7,12,89,22,14,7,18,0,1,1,2,0,0,0,0
"118",45312,"Caseara",5,-9.37229,-49.84295,8,15,11,11,8,11,241,2,0,38,10,5,14,22,7,10,93,20,13,7,12,0,1,0,2,1,0,0,0
"119",45315,"Caseara",5,-9.37229,-49.84295,9,15,13,10,9,14,245,4,3,39,9,4,14,20,7,10,87,21,14,7,12,0,1,1,2,0,0,0,0
"120",45320,"Caseara",5,-9.37229,-49.84295,9,15,9,12,8,14,266,4,3,38,11,2,14,21,8,11,89,21,13,8,16,0,1,1,2,0,0,0,0
"121",45308,"Caseara",5,-9.37229,-49.84295,9,13,11,10,9,13,273,4,4,40,8,5,14,21,6,12,82,21,13,9,11,0,1,1,2,0,0,0,0
"122",45303,"Caseara",5,-9.37229,-49.84295,8,14,11,11,8,13,178,4,3,42,10,5,14,20,7,10,72,19,13,7,16,1,1,0,2,1,0,0,0
"123",53291,"Cavalcante",7,-13.79,-47.45,7,17,11,12,10,15,197,6,4,44,10,4,14,18,5,12,67,18,14,4,10,0,1,0,0,0,0,0,0
"124",53292,"Cavalcante",7,-13.79,-47.45,8,13,9,10,10,16,194,8,5,43,12,5,14,18,7,12,76,19,16,6,13,0,1,1,2,1,0,0,0
"125",53293,"Cavalcante",7,-13.79,-47.45,7,14,10,10,10,15,193,6,5,44,14,4,14,16,5,12,71,19,13,5,15,0,1,0,2,0,0,0,0
"126",53294,"Cavalcante",7,-13.79,-47.45,8,16,10,10,9,15,186,7,4,44,12,5,14,19,7,13,76,20,15,4,18,1,2,1,2,1,0,0,0
"127",53290,"Cavalcante",7,-13.79,-47.45,7,16,9,10,8,15,193,8,4,38,11,5,13,19,6,12,72,20,16,5,8,0,1,0,0,0,0,0,0
"128",83033,"Cocalinho",NA,-14.37444444,-51.00222222,7,13,9,11,10,16,175,6,3,40,7,2,15,20,4,12,70,20,15,6,12,1,1,1,2,0,0,2,0
"129",36309,"Cocalzinho",NA,-15.79,-48.77,8,15,11,11,10,13,198,4,3,37,10,3,13,20,7,12,75,19,14,6,14,1,2,0,2,0,0,0,0
"130",38646,"Cocalzinho",NA,-15.79,-48.77,7,19,11,12,10,15,245,5,4,36,10,4,13,20,3,12,71,22,16,6,12,0,2,0,0,0,0,0,0
"131",38645,"Cocalzinho",NA,-15.79,-48.77,8,16,13,12,10,13,219,7,4,36,11,3,14,19,5,12,70,19,17,4,12,1,2,0,0,0,0,0,0
"132",44708,"ColinasdoSul",2,-14.15,-48.07,8,15,10,12,10,13,227,4,3,33,10,2,13,21,6,12,77,21,16,6,12,0,1,0,0,0,0,1,0
"133",50402,"ColinasdoSul",2,-14.15,-48.07,9,15,8,12,10,13,213,4,3,31,9,4,14,19,5,11,69,19,15,6,12,1,1,1,0,0,0,1,0
"134",44698,"ColinasdoSul",2,-14.15,-48.07,8,15,10,12,10,14,196,4,3,30,10,3,13,20,6,12,58,18,17,5,15,0,1,1,0,0,0,0,0
"135",44704,"ColinasdoSul",2,-14.15,-48.07,7,16,11,12,10,14,229,3,3,34,10,2,13,17,4,12,61,21,15,6,10,0,1,1,0,0,0,0,0
"136",48337,"ColinasdoSul",2,-14.15,-48.07,7,17,8,12,10,13,215,7,4,32,9,4,14,19,6,12,63,20,17,5,15,0,1,1,0,0,0,0,0
"137",866,"Coribe",NA,-13.82,-44.45,7,16,8,12,10,13,194,4,4,27,9,2,13,20,3,13,68,20,17,6,16,0,2,0,0,0,0,0,0
"138",33562,"Dianopolis",NA,-11.62,-46.82,7,17,11,11,9,13,198,7,3,42,8,3,14,16,5,13,57,20,15,5,12,1,1,0,0,0,0,1,0
"139",1309,"Estreito",12,-6.5625,-47.4525,7,14,10,10,10,14,169,7,5,41,9,5,14,18,5,12,51,19,20,7,13,1,1,1,0,0,0,0,0
"140",2080,"Estreito",12,-6.5625,-47.4525,7,14,10,12,10,14,189,7,4,36,7,5,14,22,7,12,49,21,15,7,11,1,1,1,0,0,0,1,0
"141",1293,"Estreito",12,-6.5625,-47.4525,7,15,12,10,9,16,176,6,3,35,11,4,14,20,5,11,65,20,14,6,13,1,1,1,0,0,0,0,0
"142",1808,"Estreito",12,-6.5625,-47.4525,8,15,10,12,10,15,159,7,4,44,10,3,14,20,5,12,69,21,13,8,12,1,1,0,0,0,0,1,0
"143",1410,"Estreito",12,-6.5625,-47.4525,7,14,10,12,10,14,169,6,4,39,10,5,14,19,4,12,56,21,15,6,12,1,2,1,0,0,0,0,0
"144",1759,"Estreito",12,-6.5625,-47.4525,8,14,10,12,10,14,162,7,5,42,8,4,14,21,4,13,64,21,15,7,13,1,2,0,0,0,0,0,0
"145",1699,"Estreito",12,-6.5625,-47.4525,7,16,12,10,12,16,196,6,4,35,9,4,14,18,3,10,67,18,16,5,11,1,1,0,2,0,0,1,0
"146",642,"Estreito",12,-6.5625,-47.4525,7,13,11,11,10,11,166,8,4,39,10,5,14,18,5,11,60,20,15,7,13,1,1,0,0,0,0,0,0
"147",1037,"Estreito",12,-6.5625,-47.4525,7,15,11,10,9,11,170,6,5,33,11,5,14,17,5,10,60,19,15,7,13,0,1,1,2,0,0,0,0
"148",1092,"Estreito",12,-6.5625,-47.4525,8,15,10,11,10,12,188,7,5,41,12,4,15,19,3,12,69,23,15,7,12,1,1,1,2,0,0,0,0
"149",1069,"Estreito",12,-6.5625,-47.4525,7,15,12,12,10,12,179,7,4,38,9,4,14,19,5,10,66,21,14,5,12,1,1,1,2,0,0,0,0
"150",1038,"Estreito",12,-6.5625,-47.4525,8,16,12,12,10,14,196,7,4,39,12,4,14,19,5,10,59,20,13,5,11,1,1,0,2,0,0,1,0
"151",99,"Estreito - CGERV?",NA,NA,NA,6,15,9,12,10,13,148,5,3,40,7,4,12,18,3,13,61,19,16,7,15,0,1,1,0,0,0,1,0
"152",13,"Estreito - CGERV?",NA,NA,NA,7,16,11,13,12,13,162,7,4,44,6,2,12,21,3,13,60,21,19,6,13,1,2,1,2,0,0,2,0
"153",102,"Estreito - CGERV?",NA,NA,NA,6,17,11,12,10,15,181,8,5,43,7,3,14,22,3,13,60,19,16,7,6,1,1,0,2,1,0,2,0
"154",75,"Estreito - CGERV?",NA,NA,NA,7,18,11,12,10,15,159,7,4,44,8,4,12,21,3,13,63,20,15,7,11,1,1,1,0,1,0,0,0
"155",25,"Estreito - CGERV?",NA,NA,NA,8,16,9,12,10,15,184,5,4,45,8,3,12,17,3,13,83,24,17,7,10,1,1,0,2,1,0,1,0
"156",53,"Estreito - CGERV?",NA,NA,NA,7,16,10,13,10,14,164,7,5,44,10,3,13,19,5,16,67,21,18,8,15,1,0,0,2,0,0,0,0
"157",50831,"Guarai",NA,-8.833333333,-48.51666667,7,17,11,12,10,13,230,8,4,39,8,2,15,20,3,12,74,20,14,5,12,1,1,0,2,0,0,2,0
"158",57017,"Gurupi",NA,-11.71666667,-49.06666667,7,16,9,12,10,14,172,6,3,45,11,5,14,20,5,11,65,17,14,6,10,0,1,1,0,0,0,0,0
"159",91187,"Ipueiras",NA,-11.23333333,-48.46666667,7,16,10,11,10,15,164,4,3,39,8,4,14,18,7,12,54,18,17,6,17,0,1,1,0,0,0,0,0
