"","ID","UF","Altitude (m)","HemipenisMedido","Especie_Welington","Hemipenis_Evertido","No_LACV","Average coverage across loci","Loci passing coverage threshold","FabDocCh4AP","Colecao","FabDocCh2","FabMestrado","Localidade","Latitude","Longitude","gymno_clades","Especie_Fabricius","Cytb Haplotype"," Genbank accession number cytb/ KIF24"
"64","52007","MA","176",NA,NA,NA,NA,3060.78,390,"SIM","CHUNB",NA,"SIM","Carolina","-7.366666667","-47.43333333",12,"G. amarali",NA,NA
"65","1293","MA","147",NA,NA,NA,NA,2742.3,390,"SIM","ESTR","SIM","SIM","Estreito","-6.5625","-47.4525",12,"G. amarali Clade H","15","KM283258/ KM283394"
"66","0642","MA","163",NA,NA,NA,NA,NA,NA,NA,"ESTR","SIM",NA,"Estreito","-6.56","-47.45",NA,"G. amarali Clade H","15","KM283261/ KM283399"
"67","0889","MT","294",NA,NA,NA,NA,1571.32,385,"SIM","LG","SIM",NA,"Barra do Garças","-15.88","-52.25",NA,"G. amarali Clade B","6","KM283291/ KM283407"
"68","55883","MT","624",NA,"B","SIM","SIM",NA,NA,NA,"CHUNB","SIM","SIM","NovaXavantina","-14.41","-52.2",4,"G. amarali Clade E","3","KM283244/ KM283368"
"69","55882","MT","619",NA,NA,NA,NA,NA,NA,NA,"CHUNB",NA,"SIM","NovaXavantina","-14.41","-52.2",4,"G. amarali",NA,NA
"70","55881","MT","624",NA,NA,NA,NA,NA,NA,NA,"CHUNB","SIM","SIM","NovaXavantina","-14.41","-52.2",4,"G. amarali Clade E","2","KM283243/ KM283367"
"71","63196","MT","624",NA,NA,NA,NA,NA,NA,NA,"CHUNB","SIM",NA,"Barra do Garças","-15.2","-52.5",NA,"G. amarali Clade E","4","KM283245/ KM283383"
"72","63198","MT","624","SIM","E","SIM","SIM",NA,NA,NA,"CHUNB","SIM",NA,"Barra do Garças","-15.2","-52.5",NA,"G. amarali Clade E","5","KM283246/ KM283384"
"73","63197","MT","619",NA,"E","SIM","SIM",NA,NA,NA,"CHUNB",NA,NA,"Barra do Garcas","-15.2","-52.5",NA,"G. amarali",NA,NA
"74","55884","MT","292",NA,NA,NA,NA,NA,NA,NA,"CHUNB","SIM","SIM","NovaXavantina","-14.41","-52.2",4,"G. amarali Clade B","30","KM283285/ KM283369"
"75","63195","MT","292",NA,NA,NA,NA,NA,NA,NA,"GRC","SIM",NA,"Nova Xavantina","-14.69","-52.34",NA,"G. amarali Clade B","33","KM283327/ KM283382"
"76","55885","MT","292",NA,NA,NA,NA,NA,NA,NA,"CHUNB","SIM","SIM","NovaXavantina","-14.41","-52.2",4,"G. amarali Clade B","30","KM283286/ KM283370"
"77","55886","MT","283",NA,NA,NA,NA,NA,NA,NA,"CHUNB",NA,"SIM","NovaXavantina","-14.41","-52.2",4,"G. amarali",NA,NA
"78","63204","MT","292",NA,NA,NA,NA,NA,NA,NA,"GRC","SIM",NA,"Nova Xavantina","-14.69","-52.34",NA,"G. amarali Clade B","35","KM283329/ KM283386"
"79","55880","MT","292",NA,"B","SIM","SIM",NA,NA,NA,"CHUNB","SIM","SIM","NovaXavantina","-14.41","-52.2",4,"G. amarali Clade B","30","KM283284/ KM283366"
"80","55887","MT","292",NA,"B","SIM","SIM",NA,NA,NA,"CHUNB","SIM","SIM","NovaXavantina","-14.41","-52.2",4,"G. amarali Clade B","30","KM283287/ KM283371"
"81","55888","MT","292",NA,NA,NA,"SIM",NA,NA,NA,"CHUNB","SIM","SIM","NovaXavantina","-14.41","-52.2",4,"G. amarali Clade B","30","KM283288/ KM283372"
"82","55890","MT","292",NA,NA,NA,NA,NA,NA,NA,"CHUNB","SIM","SIM","NovaXavantina","-14.41","-52.2",4,"G. amarali Clade B","32","KM283290/ KM283374"
"83","55889","MT","292",NA,"B","SIM","SIM",NA,NA,NA,"CHUNB","SIM","SIM","NovaXavantina","-14.41","-52.2",4,"G. amarali Clade B","31","KM283289/ KM283373"
"84","21228","MT","283",NA,NA,NA,NA,1942.29,391,"SIM","GRC",NA,NA,"Nova Xavantina","-14.69","-52.34",NA,"G. amarali",NA,NA
"85","14517","TO","522",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Almas (EESGT)","-11.24","-46.81",NA,"G. amarali",NA,NA
"86","14808","TO","523",NA,NA,NA,NA,NA,NA,NA,"MTR","SIM",NA,"Almas","-11.24","-46.81",NA,"G. amarali Clade H","1","KM283299/ KM283416"
"87","14609","TO","523",NA,NA,NA,NA,NA,NA,NA,"MTR","SIM",NA,"Almas","-11.24","-46.81",NA,"G. amarali Clade H","1","KM283298/ KM283415"
"88","14237","TO","522",NA,NA,NA,NA,2402.9,391,"SIM","MTR",NA,NA,"Almas (EESGT)","-11.24","-46.81",NA,"G. amarali",NA,NA
"89","14552","TO","522",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Almas (EESGT)","-11.24","-46.81",NA,"G. amarali",NA,NA
"90","14578","TO","523",NA,NA,NA,NA,NA,NA,NA,"MTR","SIM",NA,"Almas","-11.24","-46.81",NA,"G. amarali Clade H","1","KM283297/ KM283408"
