;ID;;Colecao;Localidade;UF;Latitude;Longitude;Altitude..m.;Especie_Fabricius;Especie_Welington;gymno_clades;HemipenisMedido;Hemipenis_Evertido;No_LACV;FabDocCh4AP;FabDocCh2;FabMestrado
30;9034;SIM;MTR;LajeadoUHE;TO;-9.85;-48.32;487;G. amarali;NA;NA;NA;NA;NA;NA;NA;NA
38;10433;SIM;NA;PalmasEast;TO;-10.42;-48.36;233;G. amarali;NA;NA;NA;NA;NA;NA;NA;NA
39;10488;SIM;NA;PalmasWest;TO;-10.24;-48.44;226;G. amarali;NA;NA;NA;NA;NA;NA;NA;NA
40;10495;SIM;NA;PalmasWest;TO;-10.24;-48.44;226;G. amarali;NA;NA;NA;NA;NA;NA;NA;NA
41;10527;SIM;NA;PalmasWest;TO;-10.24;-48.44;226;G. amarali;NA;NA;NA;NA;NA;NA;NA;NA
42;10773;SIM;NA;PalmasWest;TO;-10.24;-48.44;226;G. amarali;NA;NA;NA;NA;NA;NA;NA;NA
28;14241;SIM;MTR;LajeadoUHE;TO;-9.85;-48.32;487;G. amarali;NA;NA;NA;NA;NA;NA;NA;NA
21;14510;SIM;MTR;AlmasEESGT;TO;-11.24;-46.81;522;G. amarali;NA;NA;NA;NA;NA;NA;NA;NA
19;14517;SIM;MTR;AlmasEESGT;TO;-11.24;-46.81;522;G. amarali;NA;NA;NA;NA;NA;NA;NA;NA
20;14552;SIM;MTR;AlmasEESGT;TO;-11.24;-46.81;522;G. amarali;NA;NA;NA;NA;NA;NA;NA;NA
17;15484;SIM;NA;SaoDomingos;GO;-13.45;-46.45;456;G. amarali;NA;NA;NA;NA;NA;NA;NA;NA
18;15534;SIM;NA;SaoDomingos;GO;-13.45;-46.45;456;G. amarali;NA;NA;NA;NA;NA;NA;NA;NA
16;15564;SIM;NA;SaoDomingos;GO;-13.45;-46.45;456;G. amarali;NA;NA;NA;NA;NA;NA;NA;NA
44;15743;SIM;NA;Parana;TO;-12.75;-47.76;284;G. amarali;NA;NA;NA;NA;NA;NA;NA;NA
43;15767;SIM;NA;Parana;TO;-12.75;-47.76;284;G. amarali;NA;NA;NA;NA;NA;NA;NA;NA
46;15780;SIM;NA;Parana;TO;-12.75;-47.76;284;G. amarali;NA;NA;NA;NA;NA;NA;NA;NA
45;15782;SIM;NA;Parana;TO;-12.75;-47.76;284;G. amarali;NA;NA;NA;NA;NA;NA;NA;NA
47;15795;SIM;NA;Parana;TO;-12.75;-47.76;284;G. amarali;NA;NA;NA;NA;NA;NA;NA;NA
48;15797;SIM;NA;Parana;TO;-12.75;-47.76;284;G. amarali;NA;NA;NA;NA;NA;NA;NA;NA
49;24311;SIM;GRC;Peixe;TO;-11.88;-48.77;293;G. amarali;NA;NA;NA;NA;NA;NA;NA;NA
22;45278;SIM;NA;Caseara;TO;-9.37;-49.84;185;G. amarali;NA;NA;NA;NA;NA;NA;NA;NA
53;56697;SIM;NA;Mamanguape;PB;-6.8;-35.2;90;G. geckoides;NA;NA;NA;NA;NA;NA;NA;NA
51;61904;SIM;NA;SantanadoCariri;CE;-7.21;-39.73;755;G. geckoides;NA;NA;NA;NA;NA;NA;NA;NA
54;61905;SIM;NA;Exu;PE;-7.43;-39.75;631;G. geckoides;NA;NA;NA;NA;NA;NA;NA;NA
52;61946;SIM;NA;JuncodoSerido;PA;-7;-36.71;627;G. geckoides;NA;NA;NA;NA;NA;NA;NA;NA
23;62616;;NA;Combinado;TO;-12.81;-46.48;404;G. amarali;NA;NA;NA;NA;NA;NA;NA;NA
50;62666;;NA;Peixe;TO;-12.03;-48.35;326;G. amarali;NA;NA;NA;NA;NA;NA;NA;NA
11;67392;;NA;Pirenopolis;GO;-15.81;-48.87;1324;G. amarali;NA;NA;NA;NA;NA;NA;NA;NA
12;67397;;NA;Pirenopolis;GO;-15.81;-48.87;1324;G. amarali;NA;NA;NA;NA;NA;NA;NA;NA
15;67398;;NA;Pirenopolis;GO;-15.81;-48.87;1324;G. amarali;NA;NA;NA;NA;NA;NA;NA;NA
10;67399;;NA;Pirenopolis;GO;-15.81;-48.87;1324;G. amarali;NA;NA;NA;NA;NA;NA;NA;NA
13;67437;;NA;Pirenopolis;GO;-15.81;-48.87;1324;G. amarali;NA;NA;NA;NA;NA;NA;NA;NA
14;67438;;NA;Pirenopolis;GO;-15.81;-48.87;1324;G. amarali;NA;NA;NA;NA;NA;NA;NA;NA
9;67440;;NA;Pirenopolis;GO;-15.81;-48.87;1324;G. amarali;NA;NA;NA;NA;NA;NA;NA;NA
