"","X","ID","Colecao","Localidade","HemipenisMedido","Hemipenis_Evertido","No_LACV","FabDocCh4AP","FabDoc3CitB","FabDocCh2","FabMestrado","UF","Latitude","Longitude","Altitude","Especie_Fabricius","Especie_Welington","Clado"
"61",32,"407","CHUNB","AltoParaiso",NA,NA,NA,NA,NA,NA,"SIM",NA,-14.16222,-47.52332,NA,"G. amarali",NA,3
"72",33,"410","CHUNB","AltoParaiso",NA,NA,NA,NA,NA,NA,"SIM",NA,-14.16222,-47.52332,NA,"G. amarali",NA,3
"81",34,"413","CHUNB","AltoParaiso",NA,NA,NA,NA,NA,NA,"SIM",NA,-14.16222,-47.52332,NA,"G. amarali",NA,3
"91",35,"408","CHUNB","AltoParaiso",NA,NA,NA,NA,NA,NA,"SIM",NA,-14.16222,-47.52332,NA,"G. amarali",NA,3
"101",36,"401","CHUNB","AltoParaiso",NA,NA,NA,NA,NA,NA,"SIM",NA,-14.16222,-47.52332,NA,"G. amarali",NA,3
"112",37,"404","CHUNB","AltoParaiso",NA,NA,NA,NA,NA,NA,"SIM",NA,-14.16222,-47.52332,NA,"G. amarali",NA,3
"121",38,"411","CHUNB","AltoParaiso",NA,NA,NA,NA,NA,NA,"SIM",NA,-14.16222,-47.52332,NA,"G. amarali",NA,3
"131",39,"406","CHUNB","AltoParaiso",NA,NA,NA,NA,NA,NA,"SIM",NA,-14.16222,-47.52332,NA,"G. amarali",NA,3
"141",40,"12435","CHUNB","AltoParaiso",NA,NA,NA,NA,NA,NA,"SIM",NA,-14.16222,-47.52332,NA,"G. amarali",NA,3
"152",41,"400","CHUNB","AltoParaiso",NA,NA,NA,NA,NA,NA,"SIM",NA,-14.16222,-47.52332,NA,"G. amarali",NA,3
"162",42,"409","CHUNB","AltoParaiso",NA,NA,NA,NA,NA,NA,"SIM",NA,-14.16222,-47.52332,NA,"G. amarali",NA,3
"172",43,"17522","CHUNB","AltoParaiso",NA,NA,NA,NA,NA,NA,"SIM",NA,-14.16222,-47.52332,NA,"G. amarali",NA,3
"182",44,"12434","CHUNB","AltoParaiso",NA,NA,NA,NA,NA,NA,"SIM",NA,-14.16222,-47.52332,NA,"G. amarali",NA,3
"192",45,"405","CHUNB","AltoParaiso",NA,NA,NA,NA,NA,NA,"SIM",NA,-14.16222,-47.52332,NA,"G. amarali",NA,3
"202",46,"17521","CHUNB","AltoParaiso",NA,NA,NA,NA,NA,NA,"SIM",NA,-14.16222,-47.52332,NA,"G. amarali",NA,3
"213",47,"414","CHUNB","AltoParaiso",NA,NA,NA,NA,NA,NA,"SIM",NA,-14.16222,-47.52332,NA,"G. amarali",NA,3
"222",48,"415","CHUNB","AltoParaiso",NA,NA,NA,NA,NA,NA,"SIM",NA,-14.16222,-47.52332,NA,"G. amarali",NA,3
"62",119,"45283","CHUNB","Caseara",NA,NA,NA,NA,"SIM",NA,NA,"TO",-9.37,-49.84,185,NA,NA,NA
