"","ID","Colecao","Localidade","HemipenisMedido","Hemipenis_Evertido","No_LACV","FabDocCh4AP","FabDoc3CitB","FabDocCh2","FabMestrado","UF","Latitude","Longitude","Altitude","Especie_Fabricius","Especie_Welington","Clado"
"88","4010","MZUSP","BarraRioSaoDomingos",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.24,-47.12,NA,"G. amarali",NA,NA
"89","4014","MZUSP","BarraRioSaoDomingos",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.24,-47.12,NA,"G. amarali",NA,NA
"90","4022","MZUSP","BarraRioSaoDomingos",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.24,-47.12,NA,"G. amarali",NA,NA
"91","4011","MZUSP","BarraRioSaoDomingos",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.24,-47.12,NA,"G. amarali",NA,NA
"92","4028","MZUSP","BarraRioSaoDomingos",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.24,-47.12,NA,"G. amarali",NA,NA
"93","4027","MZUSP","BarraRioSaoDomingos",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.24,-47.12,NA,"G. amarali",NA,NA
"94","4012","MZUSP","BarraRioSaoDomingos",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.24,-47.12,NA,"G. amarali",NA,NA
"95","37296","CHUNB","BomJesusTocantins",NA,NA,NA,NA,NA,NA,"SIM",NA,-8.96,-48.16,NA,"G. amarali",NA,NA
"96","67156","MZUSP","Buritis",NA,NA,NA,NA,NA,NA,"SIM",NA,-15.61777778,-46.42333333,NA,"G. amarali",NA,NA
"97","67155","MZUSP","Buritis",NA,NA,NA,NA,NA,NA,"SIM",NA,-15.61777778,-46.42333333,NA,"G. amarali",NA,NA
"98","4004","MZUSP","CanaBrava",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.50833333,-48.35555556,NA,"G. amarali",NA,NA
"99","4000","MZUSP","CanaBrava",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.50833333,-48.35555556,NA,"G. amarali",NA,NA
"100","4003","MZUSP","CanaBrava",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.50833333,-48.35555556,NA,"G. amarali",NA,NA
"101","4002","MZUSP","CanaBrava",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.50833333,-48.35555556,NA,"G. amarali",NA,NA
"102","4001","MZUSP","CanaBrava",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.50833333,-48.35555556,NA,"G. amarali",NA,NA
"103","4005","MZUSP","CanaBrava",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.50833333,-48.35555556,NA,"G. amarali",NA,NA
"104","197","ESTR","Carolina",NA,NA,NA,NA,"SIM","SIM",NA,"MA",-7.37,-47.43,176,"G. amarali Clade H",NA,NA
"105","196","ESTR","Carolina",NA,NA,NA,NA,"SIM","SIM",NA,"MA",-7.37,-47.43,176,"G. amarali Clade H",NA,NA
"106","52006","CHUNB","Carolina",NA,NA,NA,NA,"SIM",NA,NA,"MA",-7.37,-47.43,176,NA,NA,NA
"107","1038","ESTR","Carolina",NA,NA,NA,NA,"SIM",NA,NA,"MA",-7.37,-47.43,176,NA,NA,NA
"108","52007","CHUNB","Carolina",NA,NA,NA,NA,"SIM",NA,NA,"MA",-7.37,-47.43,176,NA,NA,NA
"109","52006","CHUNB","Carolina",NA,NA,NA,NA,NA,NA,"SIM","MA",-7.366666667,-47.43333333,176,"G. amarali",NA,12
"110","52007","CHUNB","Carolina",NA,NA,NA,"SIM",NA,NA,"SIM","MA",-7.366666667,-47.43333333,176,"G. amarali",NA,12
"111","52008","CHUNB","Carolina",NA,NA,NA,NA,NA,NA,"SIM",NA,-7.366666667,-47.43333333,NA,"G. amarali",NA,12
"112","7116","MZUSP","Carolina",NA,NA,NA,NA,NA,NA,"SIM",NA,-7.366666667,-47.43333333,NA,"G. amarali",NA,12
"113","7115","MZUSP","Carolina",NA,NA,NA,NA,NA,NA,"SIM",NA,-7.366666667,-47.43333333,NA,"G. amarali",NA,12
"114","45278","CHUNB","Caseara",NA,NA,NA,NA,"SIM",NA,NA,"TO",-9.37,-49.84,185,"G. amarali",NA,NA
"115","45318","CHUNB","Caseara",NA,NA,NA,NA,"SIM",NA,NA,"TO",-9.37,-49.84,185,NA,NA,NA
"116","45324","CHUNB","Caseara",NA,NA,NA,NA,"SIM",NA,NA,"TO",-9.37,-49.84,185,NA,NA,NA
"117","45336","CHUNB","Caseara",NA,NA,NA,NA,"SIM",NA,NA,"TO",-9.37,-49.84,185,NA,NA,NA
"118","45321","CHUNB","Caseara",NA,NA,NA,NA,"SIM",NA,NA,"TO",-9.37,-49.84,185,NA,NA,NA
"119","45283","CHUNB","Caseara",NA,NA,NA,NA,"SIM",NA,NA,"TO",-9.37,-49.84,185,NA,NA,NA
"120","45318","CHUNB","Caseara",NA,NA,NA,NA,NA,"SIM","SIM","TO",-9.37229,-49.84295,186,"G. amarali Clade H",NA,5
"121","45324","CHUNB","Caseara",NA,NA,NA,NA,NA,NA,"SIM","TO",-9.37229,-49.84295,185,"G. amarali",NA,5
"122","45336","CHUNB","Caseara",NA,NA,"SIM","SIM",NA,"SIM","SIM","TO",-9.37229,-49.84295,186,"G. amarali Clade H",NA,5
"123","45321","CHUNB","Caseara",NA,NA,NA,NA,NA,"SIM","SIM","TO",-9.37229,-49.84295,186,"G. amarali Clade H",NA,5
"124","45283",NA,"Caseara",NA,NA,NA,NA,NA,"SIM",NA,"TO",-9.37,-49.84,186,"G. amarali Clade H",NA,NA
"125","45319","CHUNB","Caseara",NA,NA,"SIM",NA,NA,NA,"SIM",NA,-9.37229,-49.84295,NA,"G. amarali",NA,5
"126","45329","CHUNB","Caseara",NA,NA,"SIM",NA,NA,NA,"SIM",NA,-9.37229,-49.84295,NA,"G. amarali",NA,5
"127","45316","CHUNB","Caseara",NA,NA,NA,NA,NA,NA,"SIM",NA,-9.37229,-49.84295,NA,"G. amarali",NA,5
"128","45304","CHUNB","Caseara",NA,NA,NA,NA,NA,NA,"SIM",NA,-9.37229,-49.84295,NA,"G. amarali",NA,5
"129","45322","CHUNB","Caseara",NA,NA,NA,NA,NA,NA,"SIM",NA,-9.37229,-49.84295,NA,"G. amarali",NA,5
"130","45328","CHUNB","Caseara",NA,NA,NA,NA,NA,NA,"SIM",NA,-9.37229,-49.84295,NA,"G. amarali",NA,5
"131","45334","CHUNB","Caseara",NA,NA,NA,NA,NA,NA,"SIM",NA,-9.37229,-49.84295,NA,"G. amarali",NA,5
"132","45326","CHUNB","Caseara",NA,NA,NA,NA,NA,NA,"SIM",NA,-9.37229,-49.84295,NA,"G. amarali",NA,5
"133","45330","CHUNB","Caseara",NA,NA,NA,NA,NA,NA,"SIM",NA,-9.37229,-49.84295,NA,"G. amarali",NA,5
"134","45335","CHUNB","Caseara",NA,NA,NA,NA,NA,NA,"SIM",NA,-9.37229,-49.84295,NA,"G. amarali",NA,5
"135","45333","CHUNB","Caseara",NA,NA,NA,NA,NA,NA,"SIM",NA,-9.37229,-49.84295,NA,"G. amarali",NA,5
"136","45302","CHUNB","Caseara",NA,NA,NA,NA,NA,NA,"SIM",NA,-9.37229,-49.84295,NA,"G. amarali",NA,5
"137","45314","CHUNB","Caseara",NA,NA,NA,NA,NA,NA,"SIM",NA,-9.37229,-49.84295,NA,"G. amarali",NA,5
"138","45309","CHUNB","Caseara",NA,NA,NA,NA,NA,NA,"SIM",NA,-9.37229,-49.84295,NA,"G. amarali",NA,5
"139","45305","CHUNB","Caseara",NA,NA,NA,NA,NA,NA,"SIM",NA,-9.37229,-49.84295,NA,"G. amarali",NA,5
"140","45306","CHUNB","Caseara",NA,NA,NA,NA,NA,NA,"SIM",NA,-9.37229,-49.84295,NA,"G. amarali",NA,5
"141","45331","CHUNB","Caseara",NA,NA,NA,NA,NA,NA,"SIM",NA,-9.37229,-49.84295,NA,"G. amarali",NA,5
"142","45317","CHUNB","Caseara",NA,NA,NA,NA,NA,NA,"SIM",NA,-9.37229,-49.84295,NA,"G. amarali",NA,5
"143","45327","CHUNB","Caseara",NA,NA,NA,NA,NA,NA,"SIM",NA,-9.37229,-49.84295,NA,"G. amarali",NA,5
"144","45332","CHUNB","Caseara",NA,NA,NA,NA,NA,NA,"SIM",NA,-9.37229,-49.84295,NA,"G. amarali",NA,5
"145","45311","CHUNB","Caseara",NA,NA,NA,NA,NA,NA,"SIM",NA,-9.37229,-49.84295,NA,"G. amarali",NA,5
"146","45310","CHUNB","Caseara",NA,NA,NA,NA,NA,NA,"SIM",NA,-9.37229,-49.84295,NA,"G. amarali",NA,5
"147","45307","CHUNB","Caseara",NA,NA,NA,NA,NA,NA,"SIM",NA,-9.37229,-49.84295,NA,"G. amarali",NA,5
"148","45313","CHUNB","Caseara",NA,NA,NA,NA,NA,NA,"SIM",NA,-9.37229,-49.84295,NA,"G. amarali",NA,5
"149","45323","CHUNB","Caseara",NA,NA,NA,NA,NA,NA,"SIM",NA,-9.37229,-49.84295,NA,"G. amarali",NA,5
"150","45325","CHUNB","Caseara",NA,NA,NA,NA,NA,NA,"SIM",NA,-9.37229,-49.84295,NA,"G. amarali",NA,5
"151","45312","CHUNB","Caseara",NA,NA,NA,NA,NA,NA,"SIM",NA,-9.37229,-49.84295,NA,"G. amarali",NA,5
"152","45315","CHUNB","Caseara",NA,NA,NA,NA,NA,NA,"SIM",NA,-9.37229,-49.84295,NA,"G. amarali",NA,5
"153","45320","CHUNB","Caseara",NA,NA,NA,NA,NA,NA,"SIM",NA,-9.37229,-49.84295,NA,"G. amarali",NA,5
"154","45308","CHUNB","Caseara",NA,NA,NA,NA,NA,NA,"SIM",NA,-9.37229,-49.84295,NA,"G. amarali",NA,5
"155","45303","CHUNB","Caseara",NA,NA,NA,NA,NA,NA,"SIM",NA,-9.37229,-49.84295,NA,"G. amarali",NA,5
"156","53290","CHUNB","Cavalcante",NA,NA,"SIM",NA,NA,"SIM","SIM","GO",-13.79,-47.45,961,"G. amarali Clade G",NA,7
"157","53292","CHUNB","Cavalcante",NA,NA,NA,NA,NA,"SIM","SIM","GO",-13.79,-47.45,961,"G. amarali Clade G",NA,7
"158","53294","CHUNB","Cavalcante",NA,NA,NA,NA,NA,NA,"SIM","GO",-13.79,-47.45,961,"G. amarali",NA,7
"159","53293","CHUNB","Cavalcante",NA,NA,NA,"SIM",NA,"SIM","SIM","GO",-13.79,-47.45,961,"G. amarali Clade G",NA,7
"160","53291","CHUNB","Cavalcante",NA,NA,NA,NA,NA,NA,"SIM","GO",-13.79,-47.45,961,"G. amarali",NA,7
"161","53290","CHUNB","Cavalcante",NA,NA,NA,NA,"SIM",NA,NA,"GO",-13.64,-47.72,961,NA,NA,NA
"162","53292","CHUNB","Cavalcante",NA,NA,NA,NA,"SIM",NA,NA,"GO",-13.64,-47.72,961,NA,NA,NA
"163","53294","CHUNB","Cavalcante",NA,NA,NA,NA,"SIM",NA,NA,"GO",-13.64,-47.72,961,NA,NA,NA
"164","53293","CHUNB","Cavalcante",NA,NA,NA,NA,"SIM",NA,NA,"GO",-13.64,-47.72,961,NA,NA,NA
"165","53291","CHUNB","Cavalcante",NA,NA,NA,NA,"SIM",NA,NA,"GO",-13.64,-47.72,961,NA,NA,NA
"166","83033","MZUSP","Cocalinho",NA,NA,NA,NA,NA,NA,"SIM",NA,-14.37444444,-51.00222222,NA,"G. amarali",NA,NA
"167","38645","CHUNB","Cocalzinho",NA,"SIM","SIM",NA,NA,"SIM","SIM","GO",-15.79,-48.77,732,"G. amarali Clade C","C",NA
"168","38646","CHUNB","Cocalzinho",NA,"SIM","SIM",NA,NA,"SIM","SIM","GO",-15.79,-48.77,732,"G. amarali Clade C","C",NA
"169","36309","CHUNB","Cocalzinho",NA,NA,NA,NA,NA,NA,"SIM",NA,-15.79,-48.77,NA,"G. amarali",NA,NA
"170","38645","CHUNB","CocalzinhodeGoias",NA,NA,NA,NA,"SIM",NA,NA,"GO",-15.64,-48.55,738,NA,NA,NA
"171","38646","CHUNB","CocalzinhodeGoias",NA,NA,NA,NA,"SIM",NA,NA,"GO",-15.64,-48.55,738,NA,NA,NA
"172","44704","CHUNB","ColinasdoSul",NA,NA,NA,NA,"SIM",NA,NA,"GO",-13.99,-48.09,511,NA,NA,NA
"173","44698","CHUNB","ColinasdoSul",NA,NA,NA,NA,"SIM",NA,NA,"GO",-13.99,-48.09,511,NA,NA,NA
"174","44704","CHUNB","ColinasdoSul",NA,NA,NA,NA,NA,"SIM","SIM","GO",-14.15,-48.07,528,"G. amarali Clade D",NA,2
"175","44698","CHUNB","ColinasdoSul",NA,NA,NA,"SIM",NA,NA,"SIM","GO",-14.15,-48.07,511,"G. amarali",NA,2
"176","44708","CHUNB","ColinasdoSul",NA,NA,NA,NA,NA,NA,"SIM",NA,-14.15,-48.07,NA,"G. amarali",NA,2
"177","50402","CHUNB","ColinasdoSul",NA,NA,NA,NA,NA,NA,"SIM",NA,-14.15,-48.07,NA,"G. amarali",NA,2
"178","48337","CHUNB","ColinasdoSul",NA,NA,NA,NA,NA,NA,"SIM",NA,-14.15,-48.07,NA,"G. amarali",NA,2
"179","62616","CHUNB","Combinado",NA,NA,NA,NA,"SIM",NA,NA,"TO",-12.81,-46.48,404,"G. amarali",NA,NA
"180","866","CHUNB","Coribe",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.82,-44.45,NA,"G. amarali",NA,NA
"181","33562","CHUNB","Dianopolis",NA,NA,NA,NA,NA,NA,"SIM",NA,-11.62,-46.82,NA,"G. amarali",NA,NA
"182","1038","ESTR","Estreito",NA,NA,NA,NA,NA,"SIM","SIM","MA",-6.5625,-47.4525,175,"G. amarali Clade H",NA,12
"183","1293","ESTR","Estreito",NA,NA,NA,"SIM",NA,"SIM","SIM","MA",-6.5625,-47.4525,147,"G. amarali Clade H",NA,12
"184","1759","ESTR","Estreito",NA,NA,NA,NA,NA,"SIM","SIM","TO",-6.5625,-47.4525,206,"G. amarali Clade H",NA,12
"185","1808","ESTR","Estreito",NA,NA,NA,NA,NA,"SIM","SIM","TO",-6.5625,-47.4525,206,"G. amarali Clade H",NA,12
"186","642","ESTR","Estreito",NA,NA,NA,NA,"SIM","SIM",NA,"MA",-6.56,-47.45,163,"G. amarali Clade H",NA,NA
"187","1293","ESTR","Estreito",NA,NA,NA,NA,"SIM",NA,NA,"MA",-6.56,-47.45,163,NA,NA,NA
"188","642","ESTR","Estreito",NA,NA,NA,NA,NA,NA,"SIM","MA",-6.5625,-47.4525,147,"G. amarali",NA,12
"189","1309","ESTR","Estreito",NA,NA,NA,NA,NA,NA,"SIM",NA,-6.5625,-47.4525,NA,"G. amarali",NA,12
"190","2080","CHUNB","Estreito",NA,NA,NA,NA,NA,NA,"SIM",NA,-6.5625,-47.4525,NA,"G. amarali",NA,12
